wavelength,D50,D55,D65,D75
459,0.903742376,1.003240576,1.178698027,1.325771161
460,0.906239263,1.004702324,1.178239864,1.323638873
461,0.907956876,1.00526584,1.176671306,1.320216713
462,0.908973687,1.005016143,1.174087182,1.315606537
463,0.909468578,1.004162228,1.170751776,1.310120483
464,0.909739689,1.003052416,1.167105566,1.304278784
465,0.910010657,1.001946879,1.163474999,1.298464705
466,0.910263609,1.000824291,1.15983208,1.292644272
467,0.910471663,0.999654799,1.156142642,1.286780332
468,0.910903499,0.998741205,1.152764009,1.281272038
469,0.91193232,0.998502876,1.150188119,1.276666098
470,0.913782051,0.999191434,1.148710133,1.273290538
471,0.916391593,1.000741295,1.148260539,1.271075279
472,0.919719394,1.003110849,1.148802815,1.269991626
473,0.923644182,1.006155668,1.150147833,1.269810328
474,0.927963834,1.009635042,1.15198038,1.270149299
475,0.932478103,1.01331763,1.154013823,1.270675235
476,0.937179657,1.017197556,1.156246984,1.271392365
477,0.942154801,1.021367608,1.158778546,1.272400513
478,0.94673508,1.025103106,1.160822579,1.272888392
479,0.949938026,1.027341102,1.16123171,1.271677276
480,0.951174156,1.027443827,1.159317513,1.268059932
481,0.950561153,1.025535168,1.155207813,1.262162677
482,0.948075466,1.021584531,1.148862204,1.253938673
483,0.944212445,1.016136392,1.140881693,1.244015675
484,0.939797673,1.01009821,1.132267954,1.23343994
485,0.935436853,1.004132469,1.123748639,1.222969769
486,0.931075054,0.998177479,1.115254205,1.212531831
487,0.926656856,0.992176922,1.106727548,1.20206891
488,0.922790408,0.986766408,1.098834119,1.192258726
489,0.920305373,0.982808604,1.092471923,1.184013234
490,0.919699551,0.980821112,1.088179765,1.177879607
491,0.920949647,0.980786822,1.085949169,1.173855043
492,0.924175329,0.982840468,1.085934488,1.172105585
493,0.928782425,0.986346825,1.08745104,1.171920819
494,0.933780647,0.990247185,1.089357691,1.172116722
495,0.938497597,0.993827521,1.090891738,1.171906746
496,0.943020818,0.99718336,1.092158909,1.171402521
497,0.947340991,1.000297977,1.093131497,1.17056855
498,0.95127004,1.00301859,1.093713987,1.169353911
499,0.954624874,1.005221902,1.093877223,1.167800619
500,0.957295642,1.006833931,1.09360371,1.165933886
501,0.959214772,1.007774049,1.092792813,1.163638375
502,0.96027508,1.007931171,1.091326389,1.160789903
503,0.960761175,1.00757099,1.08944071,1.157602779
504,0.961147402,1.00713633,1.087529566,1.154434184
505,0.961738345,1.006907782,1.085834324,1.151494722
506,0.962485069,1.006838163,1.084309766,1.148740049
507,0.963416534,1.00695976,1.082996016,1.146218214
508,0.964447867,1.007155836,1.081707732,1.143677849
509,0.96540432,1.007207004,1.080127518,1.140706185
510,0.966181047,1.006981632,1.078064937,1.137055559
